eco	name	pgn
A00	Grob Opening	1. g4
A00	Mieses Opening	1. d3
A00	Polish Opening	1. b4
A00	Van Geet Opening	1. Nc3
A00	Polish Opening: Dutch Defense	1. b4 f5
A00	Polish Opening: Grigorian Variation	1. b4 Nc6
A00	Polish Opening: Karniewski Variation	1. b4 Nh6
A00	Polish Opening: Outflank Variation	1. b4 c6
A00	Polish Opening: Symmetrical Variation	1. b4 b5
A00	Polish Opening: Bugayev Attack	1. b4 e5 2. a3
A01	Nimzo-Larsen Attack	1. b3
A01	Nimzo-Larsen Attack: Classical Variation	1. b3 d5
A01	Nimzo-Larsen Attack: Modern Variation	1. b3 e5
A01	Nimzo-Larsen Attack: Dutch Variation	1. b3 f5
A01	Nimzo-Larsen Attack: English Variation	1. b3 c5
A01	Nimzo-Larsen Attack: Indian Variation	1. b3 Nf6
A01	Nimzo-Larsen Attack: Polish Variation	1. b3 b5
A02	Bird Opening	1. f4
A02	Bird Opening: Horsefly Defense	1. f4 Nh6
A02	Bird Opening: Myers Defense	1. f4 b5
A02	Bird Opening: Mujannah	1. f4 Nf6 2. c4
A02	Bird Opening: Double Duck Formation	1. f4 f5 2. d4 d5
A02	Bird Opening: Batavo-Polish Attack	1. f4 Nf6 2. Nf3 g6 3. b4
A03	Bird Opening: Dutch Variation	1. f4 d5
A04	Zukertort Opening	1. Nf3
A04	Zukertort Opening: Kingside Fianchetto	1. Nf3 g6
A04	Zukertort Opening: Queenside Fianchetto Variation	1. Nf3 b6
A04	Zukertort Opening: Arctic Defense	1. Nf3 f6
A04	Zukertort Opening: Basman Defense	1. Nf3 h6
A04	Zukertort Opening: Black Mustang Defense	1. Nf3 Nc6
A04	Zukertort Opening: Dutch Variation	1. Nf3 f5
A05	Zukertort Opening: Quiet System	1. Nf3 Nf6 2. e3
A07	King's Indian Attack	1. Nf3 d5 2. g3
A07	King's Indian Attack: Double Fianchetto	1. Nf3 d5 2. g3 g6
A07	King's Indian Attack: Keres Variation	1. Nf3 d5 2. g3 Bg4
A09	Réti Opening	1. Nf3 d5 2. c4
A09	Réti Opening: Advance Variation	1. Nf3 d5 2. c4 d4
A09	Réti Opening: Réti Accepted	1. Nf3 d5 2. c4 dxc4
A09	Réti Opening: Penguin Variation	1. Nf3 d5 2. c4 d4 3. Rg1
A10	English Opening	1. c4
A10	English Opening: Anglo-Dutch Defense	1. c4 f5
A10	English Opening: Anglo-Lithuanian Variation	1. c4 Nc6
A10	English Opening: Anglo-Scandinavian Defense	1. c4 d5
A10	English Opening: Great Snake Variation	1. c4 g6
A10	English Opening: Myers Defense	1. c4 g5
A10	English Opening: Adorjan Defense	1. c4 g6 2. e4 e5
A11	English Opening: Caro-Kann Defensive System	1. c4 c6
A11	Réti Opening: Anglo-Slav Variation, Gurevich System	1. c4 c6 2. Nf3 d5 3. e3
A13	English Opening: Agincourt Defense	1. c4 e6
A15	English Opening: Anglo-Indian Defense	1. c4 Nf6
A15	English Opening: Anglo-Indian Defense, King's Knight Variation	1. c4 Nf6 2. Nf3
A16	English Opening: Anglo-Grünfeld Defense	1. c4 Nf6 2. Nc3 d5
A16	English Opening: Anglo-Indian Defense, Queen's Knight Variation	1. c4 Nf6 2. Nc3
A17	English Opening: Anglo-Indian Defense, Hedgehog System	1. c4 Nf6 2. Nc3 e6
A18	English Opening: Mikenas-Carls Variation	1. c4 e6 2. Nc3 Nf6 3. e4
A20	English Opening: King's English Variation	1. c4 e5
A20	English Opening: Drill Variation	1. c4 e5 2. g3 h5
A20	English Opening: King's English Variation, Nimzowitsch Variation	1. c4 e5 2. Nf3
A21	English Opening: King's English Variation, Reversed Sicilian	1. c4 e5 2. Nc3
A22	English Opening: King's English Variation, Two Knights Variation, Reversed Dragon	1. c4 e5 2. Nc3 Nf6 3. g3 d5
A22	English Opening: Carls-Bremen System	1. c4 e5 2. Nc3 Nf6 3. g3
A22	English Opening: King's English Variation, Two Knights Variation	1. c4 e5 2. Nc3 Nf6
A25	English Opening: King's English Variation, Reversed Closed Sicilian	1. c4 e5 2. Nc3 Nc6
A26	English Opening: King's English Variation, Botvinnik System	1. c4 e5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. d3 d6 6. e4
A27	English Opening: King's English Variation, Three Knights System	1. c4 e5 2. Nc3 Nc6 3. Nf3
A28	English Opening: King's English Variation, Four Knights Variation	1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6
A30	English Opening: Symmetrical Variation	1. c4 c5
A30	English Opening: Symmetrical Variation, Hedgehog Defense	1. c4 e6 2. Nf3 Nf6 3. Nc3 c5 4. g3 b6 5. Bg2 Bb7 6. O-O Be7
A34	English Opening: Symmetrical Variation, Normal Variation	1. c4 c5 2. Nc3
A35	English Opening: Symmetrical Variation, Four Knights Variation	1. c4 c5 2. Nf3 Nf6 3. Nc3 Nc6
A35	English Opening: Symmetrical Variation, Two Knights Variation	1. c4 c5 2. Nc3 Nc6
A36	English Opening: Symmetrical Variation, Botvinnik System	1. c4 c5 2. e4 Nc6 3. Nc3 g6 4. g3 Bg7 5. Bg2
A40	Queen's Pawn Game	1. d4
A40	Queen's Pawn Game: Modern Defense	1. d4 g6
A40	Queen's Pawn Game: Anglo-Slav Opening	1. d4 c6 2. c4 d6
A43	Benoni Defense: Old Benoni	1. d4 c5
A43	Benoni Defense: Benoni-Indian Defense	1. d4 c5 2. d5 Nf6
A43	Benoni Defense: Snail Variation	1. d4 c5 2. d5 Na6
A45	Indian Defense	1. d4 Nf6
A45	Trompowsky Attack	1. d4 Nf6 2. Bg5
A45	Trompowsky Attack: Classical Defense	1. d4 Nf6 2. Bg5 e6
A45	Trompowsky Attack: Raptor Variation	1. d4 Nf6 2. Bg5 Ne4 3. h4
A45	Indian Defense: Accelerated London System	1. d4 Nf6 2. Bf4
A45	Indian Defense: Pawn Push Variation	1. d4 Nf6 2. d5
A45	Indian Defense: Tartakower Attack	1. d4 Nf6 2. g3
A46	Torre Attack: Classical Defense	1. d4 Nf6 2. Nf3 e6 3. Bg5
A46	Indian Defense: Knights Variation	1. d4 Nf6 2. Nf3
A46	Indian Defense: London System	1. d4 Nf6 2. Nf3 e6 3. Bf4
A46	Indian Defense: Czech-Indian	1. d4 Nf6 2. Nf3 c6
A48	Torre Attack: Fianchetto Defense	1. d4 Nf6 2. Nf3 g6 3. Bg5
A50	Indian Defense: Normal Variation	1. d4 Nf6 2. c4
A51	Indian Defense: Budapest Gambit	1. d4 Nf6 2. c4 e5
A53	Old Indian Defense	1. d4 Nf6 2. c4 d6
A56	Benoni Defense	1. d4 Nf6 2. c4 c5
A56	Benoni Defense: Czech Benoni Defense	1. d4 Nf6 2. c4 c5 3. d5 e5
A57	Benko Gambit	1. d4 Nf6 2. c4 c5 3. d5 b5
A57	Benko Gambit Accepted	1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6
